time,open,high,low,close,volume
1277818200,1.266665,1.666665,1.169331,1.592665,281749481
1277904600,1.719331,2.027945,1.553332,1.588665,257916257
1277991000,1.666665,1.727998,1.351332,1.463999,123448068
1278077400,1.533332,1.539999,1.247333,1.279999,77127212
1278423000,1.333332,1.333332,1.055332,1.073999,103189558
1278509400,1.093332,1.108666,0.998666,1.053332,103873813
1278595800,1.075999,1.167999,1.037999,1.164,115793200
1278682200,1.171999,1.193331,1.103332,1.159998,60879150
1278941400,1.196665,1.204666,1.133332,1.136666,33053583
1279027800,1.159586,1.242665,1.126665,1.209332,40200940
1279114200,1.195999,1.343331,1.184005,1.322665,62941697
1279200600,1.329332,1.433332,1.266665,1.325999,56179511
1279287000,1.379999,1.419999,1.336665,1.375999,39318189
1279546200,1.424665,1.483332,1.394665,1.460665,37297372
1279632600,1.456666,1.456666,1.336665,1.353332,27378492
1279719000,1.377332,1.393331,1.299999,1.347999,18801648
1279805400,1.366665,1.416665,1.357999,1.399999,14435189
1279891800,1.412665,1.437332,1.403999,1.419331,9810744
1280151000,1.433332,1.433332,1.353332,1.396665,13836808
1280237400,1.393999,1.411998,1.350665,1.369999,9295134
1280323800,1.369999,1.393331,1.367331,1.381332,7007752
1280410200,1.384665,1.391999,1.333332,1.356666,9238659
1280496600,1.346665,1.362665,1.303332,1.329332,6402456
1280755800,1.366665,1.397999,1.355531,1.394665,10787185
1280842200,1.399999,1.463332,1.387999,1.463332,18465363
1280928600,1.463332,1.478665,1.389999,1.417331,13811353
1281015000,1.435998,1.436665,1.336665,1.363332,11945711
1281101400,1.339999,1.344005,1.301332,1.305999,11132081
1281360600,1.326665,1.331999,1.296665,1.306666,12189852
1281447000,1.309998,1.309998,1.254666,1.268665,19219309
1281533400,1.245999,1.258665,1.189999,1.193331,11964761
1281619800,1.186665,1.193331,1.159332,1.173333,10369225
1281706200,1.211998,1.229999,1.177359,1.221333,9517704
1281965400,1.229999,1.253332,1.217439,1.251999,7293172
1282051800,1.263999,1.293331,1.251999,1.276665,6718221
1282138200,1.305999,1.305999,1.239999,1.251332,9019989
1282224600,1.235998,1.283332,1.221999,1.252665,8686238
1282311000,1.243331,1.273999,1.234005,1.273333,4462489
1282570200,1.272665,1.359272,1.266665,1.341999,16320451
1282656600,1.283332,1.313999,1.263332,1.279999,10096120
1282743000,1.277332,1.331999,1.237332,1.326665,7549342
1282829400,1.325999,1.351332,1.306666,1.316665,6506046
1282915800,1.316665,1.324333,1.299999,1.313332,5694635
1283175000,1.313332,1.345999,1.307332,1.324665,10990975
1283261400,1.310665,1.319331,1.288665,1.298665,3015183
1283347800,1.307999,1.379332,1.306666,1.363332,7435282
1283434200,1.357999,1.415999,1.354019,1.403999,7305907
1283520600,1.391332,1.419999,1.377332,1.403332,6521346
1283866200,1.373999,1.399999,1.366665,1.369331,3650028
1283952600,1.377332,1.396665,1.373333,1.393331,4325734
1284039000,1.399999,1.403332,1.379332,1.380666,5642960
1284125400,1.383332,1.395331,1.317331,1.344665,5798570
1284384600,1.392665,1.393299,1.366665,1.381332,5410550
1284471000,1.369331,1.439999,1.368665,1.407999,9819444
1284557400,1.398665,1.466665,1.385998,1.465332,10271380
1284643800,1.476665,1.543998,1.389332,1.395999,40288240
1284730200,1.401332,1.421333,1.319999,1.348665,17976887
1284989400,1.377999,1.423333,1.343999,1.403665,14212139
1285075800,1.392665,1.436665,1.377999,1.384665,11940011
1285162200,1.391332,1.396665,1.319999,1.324665,14442254
1285248600,1.325999,1.342665,1.299999,1.303999,10021150
1285335000,1.329999,1.345999,1.309998,1.339999,8684813
1285594200,1.359998,1.387332,1.336665,1.368665,6278961
1285680600,1.402665,1.432666,1.383998,1.426665,18216993
1285767000,1.412665,1.468665,1.408665,1.465332,29541884
1285853400,1.466665,1.476659,1.345999,1.360332,32949407
1285939800,1.379332,1.383332,1.353999,1.373333,8986073
1286199000,1.361998,1.411332,1.353332,1.399333,9653994
1286285400,1.409998,1.418665,1.400665,1.407999,4979044
1286371800,1.403999,1.417199,1.354666,1.363999,4703284
1286458200,1.371333,1.375999,1.355999,1.361998,2115302
1286544600,1.361998,1.385998,1.359332,1.361998,4021654
1286803800,1.362665,1.379933,1.337999,1.349333,2567912
1286890200,1.346665,1.352192,1.335332,1.349333,3658683
1286976600,1.375999,1.389999,1.357332,1.369331,4808119
1287063000,1.399999,1.401993,1.359998,1.383332,4419304
1287149400,1.392665,1.393331,1.349999,1.369331,4272604
1287408600,1.367999,1.375991,1.347999,1.348665,2440937
1287495000,1.346665,1.360405,1.333332,1.336665,3676908
1287581400,1.343999,1.379332,1.335998,1.376665,4686664
1287667800,1.373999,1.396665,1.363332,1.383332,6269991
1287754200,1.378665,1.395331,1.369999,1.381332,2415317
1288013400,1.395999,1.398665,1.381999,1.389999,1779211
1288099800,1.386665,1.457999,1.367331,1.423999,9912624
1288186200,1.416665,1.425332,1.376665,1.399999,5347505
1288272600,1.425999,1.433332,1.397333,1.412665,3362853
1288359000,1.409332,1.456666,1.403465,1.455999,4210234
1288618200,1.462665,1.516665,1.420665,1.427332,6836766
1288704600,1.445331,1.458612,1.403332,1.416665,4836979
