time,open,high,low,close,volume
1567900800,10000,10412.65,10000,10391.63,3096.291
1567987200,10316.62,10475.54,10077.22,10307,14824.373
1568073600,10307,10382.97,9940.87,10102.02,9068.955
1568160000,10094.27,10293.11,9884.31,10159.55,10897.922
1568246400,10163.06,10450.13,10042.12,10415.13,15609.634
1568332800,10414.96,10440.55,10153.51,10341.34,19252.721
1568419200,10343.01,10419.97,10222.77,10332.25,20656.624
1568505600,10333.47,10359.2,10024.81,10302.22,20536.255
1568592000,10302,10353.81,10080.7,10249.27,20185.637
1568678400,10257.3,10270.63,10136.77,10186.52,22519.607
1568764800,10183.87,10256.65,10097.92,10155.16,20832.895
1568851200,10154.7,10331.62,9530.02,10245.3,26228.754
1568937600,10247.7,10279.3,10070.5,10166.35,23265.91
1569024000,10166.56,10175.3,9912.63,9983.33,23642.387
1569110400,9992.7,10089.52,9857,10023.04,23916.354
1569196800,10027.69,10046.91,9620,9701.96,31927.062
1569283200,9701.1,9792.83,7761.75,8495.83,74464.44
1569369600,8493.32,8725.24,8200,8430.07,48222.102
1569456000,8428.15,8464.4,7700.67,8060.15,60065.945
1569542400,8061.98,8260,7851.94,8176.52,40034.653
1569628800,8178.26,8311,8001.14,8195.38,33820.919
1569715200,8199,8226.35,7888.98,8041.96,35966.056
1569801600,8042.08,8331.89,7709.01,8285.84,54412.52
1569888000,8285.31,8499,8171,8290,39212.804
1569974400,8290,8365.92,8149.35,8352.14,30329.179
1570060800,8353.4,8386,8020,8220.27,33430.23
1570147200,8219.95,8227.42,7979.95,8130.56,28421.111
1570233600,8130,8175,8010,8122.14,30262.006
1570320000,8122.01,8148.43,7760,7852.79,41909.039
1570406400,7851.01,8330,7764.42,8186.88,62760.299
1570492800,8188.55,8322.01,8103.88,8167.62,44715.165
1570579200,8168.33,8700,8113,8559.77,65453.643
1570665600,8559.77,8640.89,8419.34,8556.02,44285.668
1570752000,8557,8788,8210,8255.58,69157.964
1570838400,8255.54,8397.45,8248.34,8300.22,37761.514
1570924800,8300.31,8456,8137.3,8274.66,43820.913
1571011200,8274.33,8381.77,8205.02,8346.05,61999.821
1571097600,8346.31,8408.62,8080,8160.01,86246.749
1571184000,8160.55,8184,7900.24,7992.21,70434.452
1571270400,7994.76,8124.63,7930,8069.2,58354.602
1571356800,8069.41,8117.3,7812,7943.94,75251.352
1571443200,7945.57,8108.54,7852.12,7947.13,78024.395
1571529600,7947.78,8300.5,7871.17,8218.23,78663.915
1571616000,8218.23,8334.57,8150,8201.74,59928.516
1571702400,8201,8290,8000,8020.89,69506.88
1571788800,8020.68,8047.78,7172.76,7465,108484.139
1571875200,7465.18,7495.81,7337.44,7411.35,66719.534
1571961600,7410.07,8800,7359,8650,165118.926
1572048000,8650,10408.48,8626.89,9232.22,248161.161
1572134400,9234.75,9803.83,9066.07,9533.32,163544.019
1572220800,9534.37,9930.13,9156.03,9217.36,155599.975
1572307200,9215.78,9569.1,9070,9415.02,124703.014
1572393600,9415.02,9418.65,8975.72,9165.3,98464.858
1572480000,9163.4,9438.64,8933,9150,98836.044
1572566400,9149.88,9280,9050.27,9231.01,87256.949
1572652800,9231.7,9375,9194.98,9287.8,56602.055
1572739200,9288.96,9366.69,9073,9197.88,75612.722
1572825600,9197.86,9550,9126.01,9395.46,90433.357
1572912000,9395.47,9457.13,9164.33,9313.2,113738.226
