open,high,low,close,volume
2010-01-04,3289.75,3295.28,3243.32,3243.76,109447927.0
2010-01-05,3254.468,3290.51,3221.46,3282.179,126115066.0
2010-01-06,3277.517,3295.87,3253.04,3254.215,123651384.0
2010-01-07,3253.991,3268.82,3176.71,3192.776,128652827.0
2010-01-08,3177.259,3198.92,3149.02,3195.997,98377147.0
2010-01-11,3301.611,3306.75,3197.33,3212.75,136327216.0
2010-01-12,3205.705,3275.2,3180.09,3273.966,140655241.0
2010-01-13,3204.976,3232.82,3165.49,3172.658,158344278.0
2010-01-14,3183.381,3219.02,3165.6,3215.55,135954504.0
2010-01-15,3217.19,3241.82,3197.22,3224.152,120541135.0
2010-01-18,3213.637,3238.24,3202.21,3237.098,135067238.0
2010-01-19,3242.216,3268.81,3236.84,3246.874,129943532.0
2010-01-20,3252.037,3255.13,3148.33,3151.85,158243112.0
2010-01-21,3154.189,3176.15,3126.9,3158.863,114337079.0
2010-01-22,3118.724,3147.83,3062.63,3128.588,137758538.0
2010-01-25,3103.32,3137.0,3092.93,3094.411,78361862.0
2010-01-26,3094.848,3107.2,3001.96,3019.394,93507092.0
2010-01-27,3020.54,3028.65,2972.63,2986.607,76552214.0
2010-01-28,2985.214,3006.04,2963.89,2994.143,73365767.0
2010-01-29,2979.743,3024.85,2968.45,2989.292,80475875.0
2010-02-01,2981.374,2981.37,2912.89,2941.36,88147114.0
2010-02-02,2955.753,2990.75,2930.56,2934.713,82485789.0
2010-02-03,2945.034,3005.13,2890.02,3003.835,101022537.0
2010-02-04,2983.05,3015.13,2968.68,2995.308,99918364.0
2010-02-05,2936.197,2959.23,2918.91,2939.402,97274989.0
2010-02-08,2936.452,2954.27,2922.19,2935.174,63299582.0
2010-02-09,2932.09,2957.47,2929.21,2948.842,62282207.0
2010-02-10,2967.138,2983.18,2958.22,2982.5,55588005.0
2010-02-11,2985.082,3001.64,2976.08,2985.499,56646305.0
2010-02-12,2996.088,3018.86,2993.44,3018.133,56092124.0
2010-02-22,3016.703,3026.66,3002.81,3003.398,68505143.0
2010-02-23,2998.907,2998.91,2938.75,2982.575,80392858.0
2010-02-24,2964.984,3023.74,2955.07,3022.177,92918962.0
2010-02-25,3026.656,3063.0,3022.37,3060.618,119670781.0
2010-02-26,3053.498,3067.53,3041.69,3051.943,101296291.0
2010-03-01,3057.006,3093.09,3054.55,3087.842,111038878.0
2010-03-02,3089.706,3095.99,3060.96,3073.108,105327647.0
2010-03-03,3074.099,3098.46,3061.47,3097.005,117156519.0
