open,high,low,close,volume
2010-06-29 21:30:00,1.266665,1.666665,1.169331,1.592665,281749481
2010-06-30 21:30:00,1.719331,2.027945,1.553332,1.588665,257916257
2010-07-01 21:30:00,1.666665,1.727998,1.351332,1.463999,123448068
2010-07-02 21:30:00,1.533332,1.539999,1.247333,1.279999,77127212
2010-07-06 21:30:00,1.333332,1.333332,1.055332,1.073999,103189558
2010-07-07 21:30:00,1.093332,1.108666,0.998666,1.053332,103873813
2010-07-08 21:30:00,1.075999,1.167999,1.037999,1.164,115793200
2010-07-09 21:30:00,1.171999,1.193331,1.103332,1.159998,60879150
2010-07-12 21:30:00,1.196665,1.204666,1.133332,1.136666,33053583
2010-07-13 21:30:00,1.159586,1.242665,1.126665,1.209332,40200940
2010-07-14 21:30:00,1.195999,1.343331,1.184005,1.322665,62941697
2010-07-15 21:30:00,1.329332,1.433332,1.266665,1.325999,56179511
2010-07-16 21:30:00,1.379999,1.419999,1.336665,1.375999,39318189
2010-07-19 21:30:00,1.424665,1.483332,1.394665,1.460665,37297372
2010-07-20 21:30:00,1.456666,1.456666,1.336665,1.353332,27378492
2010-07-21 21:30:00,1.377332,1.393331,1.299999,1.347999,18801648
2010-07-22 21:30:00,1.366665,1.416665,1.357999,1.399999,14435189
2010-07-23 21:30:00,1.412665,1.437332,1.403999,1.419331,9810744
2010-07-26 21:30:00,1.433332,1.433332,1.353332,1.396665,13836808
2010-07-27 21:30:00,1.393999,1.411998,1.350665,1.369999,9295134
2010-07-28 21:30:00,1.369999,1.393331,1.367331,1.381332,7007752
2010-07-29 21:30:00,1.384665,1.391999,1.333332,1.356666,9238659
2010-07-30 21:30:00,1.346665,1.362665,1.303332,1.329332,6402456
2010-08-02 21:30:00,1.366665,1.397999,1.355531,1.394665,10787185
2010-08-03 21:30:00,1.399999,1.463332,1.387999,1.463332,18465363
2010-08-04 21:30:00,1.463332,1.478665,1.389999,1.417331,13811353
2010-08-05 21:30:00,1.435998,1.436665,1.336665,1.363332,11945711
2010-08-06 21:30:00,1.339999,1.344005,1.301332,1.305999,11132081
2010-08-09 21:30:00,1.326665,1.331999,1.296665,1.306666,12189852
2010-08-10 21:30:00,1.309998,1.309998,1.254666,1.268665,19219309
2010-08-11 21:30:00,1.245999,1.258665,1.189999,1.193331,11964761
2010-08-12 21:30:00,1.186665,1.193331,1.159332,1.173333,10369225
2010-08-13 21:30:00,1.211998,1.229999,1.177359,1.221333,9517704
2010-08-16 21:30:00,1.229999,1.253332,1.217439,1.251999,7293172
2010-08-17 21:30:00,1.263999,1.293331,1.251999,1.276665,6718221
2010-08-18 21:30:00,1.305999,1.305999,1.239999,1.251332,9019989
2010-08-19 21:30:00,1.235998,1.283332,1.221999,1.252665,8686238
2010-08-20 21:30:00,1.243331,1.273999,1.234005,1.273333,4462489
2010-08-23 21:30:00,1.272665,1.359272,1.266665,1.341999,16320451
2010-08-24 21:30:00,1.283332,1.313999,1.263332,1.279999,10096120
2010-08-25 21:30:00,1.277332,1.331999,1.237332,1.326665,7549342
