time,open,high,low,close,Volume
1669876800,1283.06,1284.8,1282.8,1284.68,1630.1797
1669877100,1284.68,1285.36,1284.25,1285.12,997.8989
1669877400,1285.12,1286.12,1284.61,1285.21,968.2946
1669877700,1285.2,1285.39,1284.08,1284.52,566.3866
1669878000,1284.52,1284.81,1283.26,1283.27,701.8774
1669878300,1283.26,1283.27,1281.71,1282.19,1087.1741
1669878600,1282.18,1282.31,1280.63,1282.2,886.3498
1669878900,1282.18,1283.18,1281.79,1283.03,698.3978
1669879200,1283.04,1283.27,1280.94,1281.09,927.8978
1669879500,1281.08,1281.54,1280.46,1281.21,771.9936
1669879800,1281.22,1281.83,1280.07,1280.21,821.0774
1669880100,1280.21,1282.88,1280.17,1282.48,895.4344
1669880400,1282.49,1282.87,1281.84,1282.69,537.0204
1669880700,1282.69,1282.79,1282.27,1282.59,671.8694
1669881000,1282.59,1282.65,1279.3,1280.51,1122.0205
1669881300,1280.5,1281.39,1278.6,1278.76,1636.4445
1669881600,1278.76,1280.84,1278.71,1280.39,1185.0545
1669881900,1280.38,1280.97,1277.77,1277.77,1383.0032
1669882200,1277.78,1280,1277.28,1279.99,1386.0257
1669882500,1280,1281.46,1279.74,1280.65,871.3611
1669882800,1280.65,1281.02,1279.74,1280.38,951.5727
1669883100,1280.39,1280.71,1279.66,1279.67,1022.97
1669883400,1279.66,1280.49,1279.62,1280.27,1013.308
1669883700,1280.28,1281.72,1280.07,1281.55,1237.5144
1669884000,1281.55,1282.18,1281.37,1282.12,895.1134
1669884300,1282.13,1286.33,1281.84,1285.08,2441.4538
1669884600,1285.08,1285.47,1283.74,1284.36,1849.5814
1669884900,1284.37,1284.7,1283.78,1283.79,789.6827
1669885200,1283.79,1284.03,1282.26,1282.65,3573.9167
1669885500,1282.64,1282.65,1280.14,1280.62,3297.4369
1669885800,1280.62,1281.93,1280.36,1281.01,1021.6645
1669886100,1281.01,1282.26,1280.63,1281.57,1215.7688
1669886400,1281.56,1281.57,1279.55,1279.96,1368.9909
1669886700,1279.95,1280.28,1278.33,1279.7,1449.177
1669887000,1279.71,1280.14,1278.26,1279.39,1076.0973
1669887300,1279.38,1281,1279.3,1280.4,1526.8363
1669887600,1280.39,1282.43,1280.39,1281.65,1089.859
1669887900,1281.65,1282.71,1280.81,1282.07,1440.5592
1669888200,1282.07,1282.57,1281.8,1281.88,632.3935
1669888500,1281.87,1284,1281.87,1283.66,1726.3087
1669888800,1283.67,1284.11,1282.83,1284.07,1746.5791
1669889100,1284.07,1285.08,1283.93,1285,1748.5991
1669889400,1284.99,1285,1283.33,1283.83,1002.2908
1669889700,1283.82,1283.83,1283.01,1283.02,1073.8422
1669890000,1283.02,1283.36,1281.72,1281.9,1354.6362
1669890300,1281.89,1282.71,1281.52,1281.52,1546.3944
1669890600,1281.53,1283.98,1281.52,1283.03,5152.8407
1669890900,1283.03,1283.37,1281.43,1281.43,1329.539
1669891200,1281.43,1282.59,1281.43,1282.57,902.2396
1669891500,1282.57,1282.72,1282.05,1282.71,1676.0543
1669891800,1282.72,1282.72,1281.35,1281.7,1492.1671
1669892100,1281.7,1281.79,1279.76,1280.37,1201.8239
1669892400,1280.37,1280.45,1277.58,1280,3583.516
1669892700,1279.99,1281.69,1279.9,1281,960.6854
1669893000,1281.01,1281.27,1279.85,1280.62,1430.1473
1669893300,1280.61,1281.31,1280.45,1281.14,1062.3355
1669893600,1281.14,1281.18,1279.83,1279.84,710.8719
1669893900,1279.84,1280.07,1277.99,1279.65,1117.957
1669894200,1279.66,1280.24,1279.46,1280.03,798.1063
1669894500,1280.04,1280.81,1279.76,1280.53,814.5525
1669894800,1280.52,1281.45,1280.52,1281.41,1082.9396
1669895100,1281.41,1282.67,1280.76,1282.55,1387.7263
1669895400,1282.56,1282.72,1282.16,1282.71,3091.5912
1669895700,1282.71,1283,1282.49,1282.94,2692.7072
1669896000,1282.94,1284.8,1282.83,1283.66,4577.4689
1669896300,1283.67,1284.68,1283.66,1284.12,1881.2929
1669896600,1284.13,1287.73,1283.87,1286.56,2522.0681
1669896900,1286.56,1288.69,1285.71,1285.71,4270.5558
1669897200,1285.72,1286.05,1285.14,1285.21,817.2537
1669897500,1285.21,1286.21,1284.37,1286.2,1383.1261
